id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Households
12011577,12,Florida,FL,Polk County,Lakeland,Kathleen,CDP,place,33810,863,18635143,105111,28.119175,-82.040006,85310.4221547891,70691,94879.3722163305+0i,2043
12011579,12,Florida,FL,Miami-Dade County,Miami,Kendall,CDP,place,33176,305,41735233,1302744,25.669538,-80.354741,163049.9870593,158881,172789.797003889+0i,27913
12011581,12,Florida,FL,Pinellas County,Kenneth City,Kenneth City,Town,place,33709,727,1889724,83618,27.816064,-82.714643,92808.3804993805,82430,101884.739095002+0i,1815
12011583,12,Florida,FL,Palm Beach County,N Green Acres,Kenwood Estates,CDP,place,33463,561,499352,0,26.627696,-80.114711,68280.7570172617,300000,62994.6399539304+0i,383
12011585,12,Florida,FL,Monroe County,Marathon,Key Colony Beach city,City,place,33050,305,1140481,550150,24.723406,-81.021647,181011.75854279,209492,191392.228350472+0i,391
12011587,12,Florida,FL,Hillsborough County,Odessa,Keystone,CDP,place,33556,813,90953757,10431910,28.127642,-82.608095,195024.856070635,210796,196628.898465425+0i,7937
12011589,12,Florida,FL,Pasco County,Holiday,Key Vista,CDP,place,34691,727,1964640,10605,28.194078,-82.769807,123308.950180928,122291,120937.485554635+0i,559
12011591,12,Florida,FL,Osceola County,Kissimmee,Kissimmee city,City,place,34741,407,53929070,1760423,28.30278,-81.417831,99296.3793790663,81261,112320.598807408+0i,20765
12011593,12,Florida,FL,Pasco County,Dade City,Lacoochee,CDP,place,33523,352,7394156,32480,28.466059,-82.170417,57417.9775316117,67630,0+35684.9479255479i,513
12011595,12,Florida,FL,Lake County,Lady Lake,Lady Lake,Town,place,32159,352,21188221,745652,28.924414,-81.929826,79387.9031322122,65528,88985.9154653789+0i,6936
12011597,12,Florida,FL,Polk County,Lake Alfred,Lake Alfred city,City,place,33850,863,24077779,10095699,28.098804,-81.724834,93635.26625111,77514,105749.557326916+0i,1924
12011599,12,Florida,FL,Orange County,Orlando,Lake Buena Vista city,City,place,32836,407,7761395,281043,28.378373,-81.526694,41032.108695652,300000,28306.1654685455+0i,5
12011601,12,Florida,FL,Union County,Lake Butler,Lake Butler city,City,place,32054,386,5866412,350640,30.017687,-82.34336,71858.9314451656,59785,88657.2729586224+0i,812
12011603,12,Florida,FL,Palm Beach County,West Palm Beach,Lake Clarke Shores,Town,place,33406,561,2528906,153658,26.645628,-80.075276,158632.618604553,151628,167189.514580998+0i,1528
12011605,12,Florida,FL,Palm Beach County,Belle Glade,Lake Harbor,CDP,place,33430,813,3396773,0,26.688444,-80.807895,0,0,0+0i,0
12011607,12,Florida,FL,Volusia County,Lake Helen,Lake Helen city,City,place,32744,386,11454368,324762,28.983864,-81.231087,97752.392610736,78479,114094.322342834+0i,1092
12011609,12,Florida,FL,Polk County,Lakeland,Lakeland city,City,place,33801,863,170700664,23355418,28.055494,-81.954916,108445.802618711,87303,122432.728685751+0i,39376
12011611,12,Florida,FL,Hernando County,Brooksville,Lake Lindsey,CDP,place,34601,352,234150,0,28.632263,-82.361693,37905.1603745283,300000,25866.0767271289+0i,29
12011613,12,Florida,FL,Lake County,Deland,Lake Mack-Forest Hills,CDP,place,32720,386,12528441,851066,29.000833,-81.423374,43056.3995761798,42520,42002.8912391986+0i,300
12011615,12,Florida,FL,Seminole County,Lake Mary,Lake Mary city,City,place,32746,407,23706810,1997369,28.75925,-81.334485,159066.560352056,152887,164100.60174009+0i,5375
12011617,12,Florida,FL,Liberty County,Bristol,Lake Mystic,CDP,place,32321,850,11752588,439999,30.391569,-84.991319,75216.8938061465,300000,65406.9119999601+0i,131
12011619,12,Florida,FL,Palm Beach County,Lake Park,Lake Park,Town,place,33403,561,5598674,454398,26.800141,-80.069494,101052.68706349,86155,113218.517961791+0i,2942
12011621,12,Florida,FL,Sarasota County,Sarasota,Lake Sarasota,CDP,place,34241,941,3521943,85601,27.288712,-82.439193,128396.486999887,102126,136601.692438236+0i,1635
12011623,12,Florida,FL,Polk County,Lake Wales,Lake Wales city,City,place,33853,863,49040062,3273884,27.920708,-81.599499,94370.7790457149,78951,107056.330501187+0i,5427
12011625,12,Florida,FL,Palm Beach County,Lake Worth,Lake Worth city,City,place,33460,561,15218212,2046900,26.61972,-80.058718,106700.172221203,89397,119768.111546974+0i,12784
12011627,12,Florida,FL,Pasco County,Land O Lakes,Land O' Lakes,CDP,place,34639,813,49414611,6035164,28.208307,-82.445842,137221.555700687,119680,143797.930992374+0i,11893
12011629,12,Florida,FL,Pinellas County,Largo,Largo city,City,place,33770,727,47265491,2548789,27.906392,-82.771467,102383.678371727,81357,116669.365645624+0i,36140
12011631,12,Florida,FL,Broward County,Lauderdale Lakes,Lauderdale Lakes city,City,place,33319,754,9549040,124811,26.166932,-80.200826,77203.6802113702,65599,92030.1480015081+0i,10999
12011633,12,Florida,FL,Sarasota County,Nokomis,Laurel,CDP,place,34275,941,13224647,2534393,27.143416,-82.461134,122869.307473364,101134,133287.543688548+0i,4389
12011635,12,Florida,FL,Bradford County,Lawtey,Lawtey city,City,place,32058,904,3725668,0,30.047451,-82.072123,58862.5842620071,60706,59660.7981396138+0i,386
12011637,12,Florida,FL,Broward County,Wilton Manors,Lazy Lake,Village,place,33311,754,60227,0,26.156332,-80.145209,239283.206950222,300000,233632.183317332+0i,9
12011639,12,Florida,FL,Citrus County,Lecanto,Lecanto,CDP,place,34461,352,69757168,18978,28.822743,-82.500737,100613.870939396,82681,114095.44013752+0i,1957
12011641,12,Florida,FL,Lake County,Leesburg,Leesburg city,City,place,34748,352,82316999,26115387,28.822828,-81.88583,77846.5080044174,65252,89611.759798525+0i,8311
12011643,12,Florida,FL,Miami-Dade County,Homestead,Leisure City,CDP,place,33033,305,8707219,173370,25.493935,-80.436093,72122.4275282848,65784,80221.1104515242+0i,6478
12011645,12,Florida,FL,Collier County,Naples,Lely Resort,CDP,place,34113,239,12886798,871568,26.099364,-81.708747,168619.50792935,173930,173155.517443457+0i,2104
12011647,12,Florida,FL,Broward County,Pompano Beach,Lighthouse Point city,City,place,33064,754,5979190,215771,26.277756,-80.088619,191529.810170215,219502,197663.534594272+0i,4932
12011649,12,Florida,FL,Palm Beach County,Jupiter,Limestone Creek,CDP,place,33458,561,1004296,0,26.942732,-80.140703,93916.1428745951,86888,95618.8911248949+0i,296
12011651,12,Florida,FL,Suwannee County,Live Oak,Live Oak city,City,place,32064,386,19609803,5105,30.295625,-82.984108,69078.3619142265,62621,86896.3608638835+0i,2501
12011653,12,Florida,FL,Lee County,North Fort Myers,Lochmoor Waterway Estates,CDP,place,33903,239,5720918,2071299,26.643824,-81.90961,107171.032209314,84711,118460.519582609+0i,1746
12011655,12,Florida,FL,Manatee County,Bradenton,Longboat Key,Town,place,34207,941,10697026,30743268,27.395596,-82.64348,199284.026185955,222735,201897.584412052+0i,1378
